;BIP Version: 05.07.00
;Revision Number: 2.0
;Last Changed: Fri Mar 26 10:18:32 2004
;By: BMW EA-33 Muellerwiebus, BMW TI-431 Schiefer, BMW TI-431 Schall
;Package Version: 00000000

;ECU:MS 43.0 fuer M54 mit EWS 3
;ORIGIN:BMW TI-431 Schaller
;REVISION:2.00
;AUTHOR:BMW EA-33 Muellerwiebus, BMW TI-431 Schiefer, BMW TI-431 Schaller
;ECUCOMMENT:


TBEG "FORTTEXTE"
HEAD "ORT", "ORTTEXT", "UW_1", "UW_2", "UW_3", "UW_4"
LINE "0x8E", "Modulfehler DMTL", "0x0E", "0x12", "0x49", "0x0D"
LINE "0x8F", "Tankleckdiagnose mit DMTL", "0x0E", "0x12", "0x0F", "0x0C"
LINE "0x92", "VCC-Poti 1", "0x42", "0x29", "0x71", "0x72"
LINE "0x93", "VCC-Poti 2", "0x43", "0x2A", "0x71", "0x72"
LINE "0x95", "LM_HFM", "0x42", "0x43", "0x1C", "0x24"
LINE "0x96", "Lambdasondenspannung Vor-KAT-Sonde 1", "0x24", "0x1C", "0x2D", "0x5B"
LINE "0x97", "Lambdasondenspannung Vor-KAT-Sonde 2", "0x24", "0x1C", "0x2E", "0x5C"
LINE "0x98", "Lambdasondenspannung Nach-KAT-Sonde 1", "0x24", "0x1C", "0x2B", "0x53"
LINE "0x99", "Lambdasondenspannung Nach-KAT-Sonde 2", "0x24", "0x1C", "0x2C", "0x55"
LINE "0xA0", "MTC-Lageregler PI-Summenpruefung", "0x41", "0x46", "0x20", "0x4E"
LINE "0xA1", "MTC-Lageregler PI-Summenpruefung", "0x41", "0x46", "0x20", "0x4E"
LINE "0xA2", "MTC-Lageregler Regeldifferenz", "0x41", "0x46", "0x20", "0x4E"
LINE "0xA8", "Thermostat klemmt offen", "0x24", "0x1C", "0x38", "0x36"
LINE "0xBA", "LS1-Betriebsbereitschaft waehrend aktivem LR", "0x36", "0x4E", "0x59", "0x57"
LINE "0xBB", "LS2-Betriebsbereitschaft waehrend aktivem LR", "0x36", "0x4E", "0x5A", "0x58"
LINE "0xBC", "Lambdasondenheizung Vor-KAT-Sonde 1", "0x24", "0x1C", "0x5B", "0x31"
LINE "0xBD", "Lambdasondenheizung Vor-KAT-Sonde 2", "0x24", "0x1C", "0x6E", "0x32"
LINE "0xBE", "Lambdasondenheizung Nach-KAT-Sonde 1", "0x24", "0x1C", "0x53", "0x2F"
LINE "0xBF", "Lambdasondenheizung Nach-KAT-Sonde 2", "0x24", "0x1C", "0x6D", "0x30"
LINE "0xC4", "Fehler Variante Drucksensor erkennen", "0x96", "0x95", "0x94", "0x93"
